,text,label
26,"I hate bike lanes because they slow me down and inhibit my flow with the traffic. And pedestrians wander into bikes lanes because they think they are not part of the road. Happens to me all the time. Some walker without even looking just ambles off the sidewalk, his back to me, right in front of my path. Also when traffic turns through a bike lane this involves extra lights and a real cluster mix situation for everyone. And don't get me started about trucks parking in cycle lanes to unload - all the time. And lastly, the worst is car drivers get to shout 'get in the bike lane' now when I'm going around a truck or something. Bloomberg's ideas have little to do with reality, he's green the way most billionaires are green. One other thing, those electric bikes, they are a true menace. They move at 20-30 miles an hour and are not bikes, they are powered transport. They need regulation, helmets, all that. Peace.",1
27,"I can see 3D printing for prototypes, and some custom work. However manufacturing industries use thousands of plastics and thousands of metal alloys, few of which can be printed. I don't see that there is going to be a wholesale conversion to this relatively slow, materials-inflexible process.",0
28,"Secrecy avoids accountability, and allows anonymous violation of the law, which goes unpunished. The wholesale violation of human rights, rendition (kidnapping by any other name), torture and killing of persons, guilty or innocent, and subversion of other countries governments, from Iran and Guatemala in the beginning to Afghanistan today, shows the CIA and America to be just another colonizing power taking what it wants for itself and its businesses. It should be dumped, and its functions returned to the State Department and Military [where lawyers still honor their oath to protect the Constitution. US Army 1969-1971/California JD",1
29,"Parents can start by disconnecting from their own social networking addictions and not diving into their cell phones every 3 minutes. Leave work and the world behind! Parents need to genuinely interact with their children, otherwise what's the point of taking the family somewhere new if everyone is simply bringing along their own 'entertainment bubble'? Take children to where they can really interact with real people or nature, not the plasticised, calorific worlds of ghastly theme parks and the like. For city kids especially, how about a farm vacation, where they can see how food is raised?",1
30,"I am obtaining dual citizenship for my 9 year old son. I don't want him conscripted to fight in a rich mans war against his own will. A right all people should have, unless conscription is uniformly applied to all citizens NO privileged outs.",1
31,"If the price comes down to about 15k, I'll buy one. If I need to drive on a vacation, or for some other reason long-distance, I'll rent a more capable vehicle. Simple as that. The fewer gallons of gasoline or ethanol burned, the better. With climate change occurring at an ever-faster rate, we'd better be doing everything in our power to reduce our use of fossil fuels. Why would anyone be against bolstering the human race's chance for survival?",0
32,"The only value that a program like TFA provides is to expose privileged, upper middle class young people to the realities of how the other side lives. Hopefully, these people can take this experience with them when they go on to their gilded careers in law, banking, and politics.",1
33,"The Galen Institute is a Dark Money organization supported by the Bradley Foundation. Why would the NYT have this woman presenting a counter argument to the ACA? She clearly is a paid shill for right-wing plutocrats. Any problems with the ACA start and end with the Republicans, and specifically Marco Rubio. Your solutions, just like your benefactors, are if you can't afford insurance then don't get sick, and if you do you are on your own.",0
34,"If home-schoolers get a tax break then every childless couple, every empty-nester, every retiree and every person who is not married and does not have school-aged children should get an equal tax break. Make education like toll roads--only paid for by the users.",0
35,"Agree with poster who said that language study should be mandatory well before college! If a college student is already proficient in two or more languages, then by all means let them study poetry or science or whatever else grabs them. But no US college graduate today should be monolingual since understanding the people(s) of the world is of the utmost value for reasons both practical/geostragtegic and intrinsic. US DOD used to subsidize foreign language study much more than it does today--a pity, and a danger.",1
36,"I see a procession of overweight, obese, and morbidly obese women in my practice which includes the cure of stress urinary incontinence. I refuse to hitch up the bladder neck of obese women (Body mass index>31). I ask them to lose 30 lbs because 30% will be cured without an operation. I have had a death in my practice because of a pulmonary embolus which is a risk of obesity. A few comply, get their BMI below 31 and I operate if they continue to have a favorable trajectory. I seem to be alone in this practice. One academic told me that if he discriminated against the obese 'he could not earn a living (sic!)'. I think M.D.'s are mostly in cahoots with the MacDonalds of the world in ignoring the obesity epidemic. I think employers should discriminate but they should start with the CEO of publicly traded corporations and media comentators. Some of the CNBC crowd is overweight. They should slim down and then go after the CEO's by publishing their BMI's. I think the effects on the general population would be rapid.",1
37,"I think commenter 1 provides a good example: of people having closed minds. Either he didn't read the column, or he is so convinced of his beliefs that he ignores facts/data. There appears to be NO instance of something that should not be privatized, despite the evidence to the contrary presented by Dr. (?) Warner. If he wants me to support privatization of specific services, show me some data!",1
38,"There is also an another equity argument. Capital gains on asset held in retirement accounts are treated as regular income when taken out. Since middle income people will mostly have this form of capital gains they are being unfairly taxed since they do no receive preferential treatment, except for the deferral of those taxes until those gains are received.",0
39,"As one who has not a single dream in 70 years of life despite many therapists asserting that I certainly had dreams and just stubbornly redefined them as something else; I would welcome the idea of scripting dreams! Having attempted directed dreaming, directed meditation, countless visualization methods, and the like; I'll accept the notion of dreaming, but without the personal experience I must concede that I am like the blind man wondering on the nature of a sunrise! So all you script writers; please script away!!",1
40,"As we move towards allowing employers to discriminate based on public health, we will surely want to allow them to prefer younger to older workers, since older workers are more likely to get sick. Is that reasonable? And since women take, on average, twice as many sick days as men--and most are not related to childcare--it's probably also appropriate that employers hire men over women, right? You see where this gets you...where are you going to stop?",0
41,"Yep, I got to go to CUNY free, and it was a struggle to buy books, got a BA and a Master's there went on to work for colleges for 34 years and retired comfortably. Without free college, my life would have been very different, and I would have been a net loss to society, rather than what I hope has been a net gain. Good investment, NYC let's get back to that nationwide. 'It is easier to build strong children than to repair broken men.' -Fredrick Douglass",1
42,"Unconditional love combined with the parent fondly expecting the child to be the best he can be. As the child grows older, he needs to separate from his parents and this should be respected. But the parent is always there if the child needs advice. To sum up this approach: Positive Reinforcement",1
43,"We have a broken prison system in many respects, starting with the stark fact that the United States has the largest prison population in the world and the second-highest per-capita incarceration rate. The highest is the Seychelles islands ... an outlier that is not far ahead of us. Our broken system can't be fixed all at once. We will have to fix it piece at a time just like it was broken piece at a time. But making EX-felons whole in their participation in society by restoring their voting rights is a good start.",1
44,"I saw and heard Michelle Obama last night and she was amazing. People could not stop cheering her. If the wives are an asset, why not give them space!. There is a saying in Latin America, 'behind a great man, there is a great woman'.",0
45,"The subsidy programs need to be reformed, not eliminated. Tighter income/subsidy caps are needed. Programs that encourage innovation instead of requiring farmers to maintain subsidized acreages and surplus production. If we use black-and-white thinking and eliminate the entire program, the largest corporate farms will benefit. The smaller farms cannot compete against the cost efficiencies that come with scale. The health of our farms is important. Our farmers are stewards of our agricultural soils, arguably our most valuable natural resource. Let's not play politics with our land. Thoughtful reform instead of knee-jerk reactions to a system plagued with problems.",0
46,"I am from the UK where declawing is outlawed. I had never heard of a declawed cat and moved to the USA in 1999. After Hurricane Katrina, there were a surplus of cats and dogs for adoption at our local shelter. I adopted two cats not knowing that one had declawed front paws. It took away the defenses of the declawed cat against the cat with intact claws - though he did like to get the clawed cat in a headlock and scratch with his hind paws. If you don't like scratched furniture, cats are not for you. You have to deal with the whole animal, not just the parts you like.",1
47,"Many TFA folks are feeling defensive these days, and rightly so. The program promises more than it can deliver. It is not the fault of these idealistic and/or ambitious young people that the program has been overly touted as the silver bullet for all education's problems. There is nothing wrong with leaving education after two years, becoming an administrator or going to law school. The problem is that attrition is basically a design feature of the program. An unprepared teacher in a high needs classroom will burn out in two years. I almost did, until I realized that I needed to set boundaries and have a life. The problem is that students pay by losing energetic teachers every year, would-be teachers are discouraged and leave the classroom, and the taxpayers are footing too much of the bill for a program with questionable returns. There needs to be an overhaul if the public is to be expected to continue supporting a program that is not successful in helping create long term stability in schools.",1
48,"Spotify and Pandora pay usage rates that are much lower than the radio, records and legal downloads that they are replacing. Low enough to where many potential new artists won't be able to even earn a living. There must be some alternative other than artists simply being forced to accept the new streaming model that destroys royalties. For example, who set streaming royalty rates? Can artists unionize and negotiate collectively with the streaming services? If we don't sort this out, we will lose a new generation of artists -- which is bad for everyone.",0
49,"if the newest product from the biggest Silicon Valley company is one that allows people to get notifications to their wrist so that they dont need to reach into their pocket - while at the same time being touted as fitness health tracker then, yes, the old Silicon Valley died with Steve Jobs 4 years ago.",0
50,Robot pilots and drivers are here to stay. We need to protect ourselves from these devices - not develop them to be used against us some day... I'm sure we'll see a story soon about a driver-less car or pilot-less plane used to harm innocents in the homeland that created these high-tech marvels.,1
51,"What a horrible idea. Conscription ? Sending them back where they came from ? After all they've been through ? Did we send the boat people from Vietnam, back to Vietnam ? They're tired. There's a plaque dedicated to Emma Lazarus @ the base of the Statue of Liberty saying, 'Give me your tired, your poor, Your huddled masses yearning to breathe free, .................. Is she 'rolling over in her grave' right now ?",1
52,"This is a pretty offensive and inaccurate view. To compare home birthers to vaccine deniers is absurd. Hospitals have an increasing rate of cesarian births, which pose an increase risk to the mother, with 3 times the mortality rate of a vaginal birth. Transfer rates of home births are about 2-3%, meaning there is about a 97-98% chance of a vaginal birth for a baby born at home, a far safer option for the mother. Here are a couple facts to balance out these doctors inaccurate and out of date views: From the CDC: Number of vaginal deliveries: 2,642,892 Number of Cesarean deliveries: 1,284,339 Percent of all deliveries by Cesarean: 32.7% From Wikipedia: In those who are low risk the risk of death for Caesarian sections is 13 per 100,000 and for vaginal birth 3.5 per 100,000 in the developed world. The UK National Health Service gives the risk of death for the mother as three times that of a vaginal birth",1
53,"After living with a few in our old neighborhood they thought rules didn't pertain to them and went after those that complained even illegally pulling someone over. Now they run our neighborhood many are afraid but we moved.. As we see what is happening all over the nation with all these killings who is really surprised. Those that run these police forces are not taking responsibility for the bad seeds or even taking the time to see what they are doing privately in our communities. How many times are police allowed to break laws, get written up repeatedly and nothing happens.",0
54,"The day before the massacre I received a cartoon by e-mail from a conservative friend - yes, I lean liberal, but I have many good friends who are quite conservative - that very explicitly managed simultaneously to smear Muslims - ALL Muslims - as being anti-gay while at the same time smearing liberals - ALL liberals - as treating Christian conservatives differently from Muslims when it comes to being anti-gay and implying that we do so out of some misguided sense of political correctness. You, sir, are deeply in denial about both the depth of conservative animus toward people with different values to yours, and about the way in which the conservative community uses that animus to demonize and dehumanize those who disagree with you. Either than, or you just don't care and are willing to say anything to justify continuing down the same path you've been pursuing, which while it is not entirely to blame for what happened in Orlando (and elsewhere) UNQUESTIONABLY contributed to it. You're on the wrong side of history and the wrong side of the moral divide on this - indeed, you're on the wrong side of Christ's teachings, if you really care.",1
55,"Ginsberg definitely has the right to speak truth. Trump is definitely a fascist and we should hear this truth spoken by many more honest folk. Some within Congress speak lies in their support of Trump so why not hear truth spoken ? One lie must be corrected here : Trump is NOT an evangelical as he and others lie about. He is a fundamentalist who thinks he only speaks truth. Clinton may have made a mistake, but Trump IS a mistake and is totally opposed to a true democracy, as are those in Congress who want rule by the NRA and not the people. WE THE PEOPLE must speak out and Ginsberg is brave for speaking truth.",0
56,"Justice Ginsburg does have first amendment rights. And she is right as right can be. I hope to hear from more and more people with intelligence, foresight and the will to speak truth. The majority cannot be silent. The cost would be too great.",0
57,"No, Joe, the fault lies with the Greeks themselves. As part of the single currency, they were able to borrow boatloads of money at rates based upon the financial strength of the strongest countries in the EU, namely Germany. And there was no possibility of their ever being able to repay it; they simply hoped (as we did) that the party would be never-ending. The sovereign debt crisis in Europe is NOT primarily the fault of the U.S., Wall Street and the 2007/08 financial meltdown. The meltdown simply exposed the euro for what it has been since 1999: a fake currency built upon smoke and mirrors. A real currency is predicated upon a common culture, a common language, a common political structure, a common tax structure, a common social structure, a common history. The euro was simply the creation of bureaucrats who were unable to pull off the social/political/financial union needed for the euro to be a longterm success. This crisis would have happened sooner or later, no matter the trigger.",0
58,"'Rate My Professors helps me narrow down my choices. It tells me what my peers think of the various instructors.' Wouldn't it be better to get this information directly from other students? A negative opinion from someone who complains about everything should not carry the same weight as a negative opinion from someone who is generally reasonable. If you're getting your 'reviews' from your friends, roommates, etc, then you know how much weight to put their opinion - but you don't have it with the reviewers on Rate My Professor. I see RMP as primarily a tool for transfer students and online students -studetns who are on the outskirts of the student community - where information about professors flows freely. If you're a full-time second year student, however, your classmates, whose credibility you can assess, seem like a better resource.",0
59,"I find most restaurant food too salty. I know this not so much from the taste but the way my body reacts afterwards. I often wake up in the middle of the night with extreme dry mouth after eating out. Since there are some people who should have little to no salt in their diets for health reasons, I'd prefer to see chefs go very lightly with the salt and then let people add salt if they wish.",1
60,"'and making it easier to hire and fire workers' This is the type ideological blather the makes people hate economists. Making it easier to fire people reduces wages and in the short term may lead to higher growth by stimulating investment. But then in a decade or so the consumer base you use to have run out of savings, are loaded up with debt and are systematically replaced with a new generation of workers who are paid less, have fewer benefits and less disposable income. Demand start to slip, investment opportunities in the real economy dry up and the next thing you know you have Apple sitting on a mountain of cash because they have run out of consumers who can afford their products and they can make more money out of financial speculation than trying to create profitable products that are cheap enough for an impoverished proletariat. Continuously narrowing your consumer base and expecting long term stability is just plain dumb. A system in which a tiny number of the fabulously wealthy are served by vast sea of barely surviving working poor ends with barricades and guillotines.",0
61,"I like to hear the wives speak. Knowing Michelle Obama's education/professional life, what I hear is: 'I'm Michelle Obama and I chose this man to be my husband -- so you think I'd pick a fool?' Knowing Ann Romney's background, I heard exactly what I would have expected: ' I'm Ann Romney and I chose a good provider.' I simplify, obviously, but hearing spouses talk does tell us things we should know about the men asking for our votes. My husband both reflects me and reflects on me.",0
62,"There is only a shortage of agricultural labor at current wages. Raise the wage to a fair one, and legal workers will do it. If US agriculture is unsustainable without abusive labor practices, should we continue to prop up those practices?",1
63,"i vote no, the wife can hurt her husband in ways that will go unnoticed, there are those who still believe that a wife should remain in the background, that she is not the one running for office ... i very much like the president and will vote for him again ....i will add that the the only exception for me was hillary clinton, by far the smartest most articulate politician in recent memory!! more together and harder working, too.... in fact, i voted for clinton because of his wife but i know of those who voted against him because of his wife",1
64,"Throughout my school years--from elementary school on--I was completely incompetent in every kind of physical activity that I tried. As a result, in the competitive environment that prevailed in the 1950s and 1960s (and, I suspect, continues to the present), I was not just sidelined but humiliated, and not just by my fellow students, but by adult coaches, too. To this day, I hate sports. Now, in my 60s, I wish there had been programs for kids like me, that might have introduced me to physical exercise in a non-competitive setting. Maybe I could have become more physically active and found some healthy physical activities that I could enjoy.",1
65,"Should Europe shun Muslim refugees? Yes, but not only because of what happened in Paris! As much as these refugees are in a really bad situation - people seem to forget that there is already a huge problem in Europe with Muslim immigrants. For different reasons, these immigrants have not integrated into society, refuse to obey local laws and as a group are very hateful and intolerant towards others. You can either call me a racist or a realist - the facts are very hard to ignore. Anyone who thinks that these refugees will be different from those Muslims already in Europe is dreaming - allowing all these immigrants in will only worsen the existing situation in Europe. It is fine to want to help the refugees - how about the Arab countries in the region? I haven't actually seen any Arab countries offering help - or is that heresy?",0
66,"Ryan Radia writes like someone who is a newbie to Android. He could get better informed by following XDA-Developers, AndroidCentral, or a similar group of people who understand Android. Mr. Radia could also visit the PlayStore and look at all the applications, like Titanium Backup, that require root access to function. App Quarantine Pro, would let you lock down crapware so that it does not run down your battery, slow your device, or spy on you. You cannot use sophisticated spyware blockers because that interferes with Google, the device manufacturers and the networks from selling your personal data. Google, the device makers, and the networks, collude to prevent people from actually owning their devices. If they really belonged to us, we would be able to install software to backup them up to an external hard-drive. We would be able to decide which applications to uninstall. We would be able to decide upon the rules applications have to follow when they are on our devices, not the 'take it or leave it' practices we have at present.",1
67,"1) Except for updates and corrections to the story, authors who get involved in the comments section of their articles are not doing themselves any service. 2) It may come as a surprise, but authors of articles are not omniscient. Comment sections usually bring out pertinent points and perspectives that the author omits. 3) It is important, especially for social and politics issues to understand not only the content of an article but what the opinion of the public is toward the article that can be particularly important, and more relevant than any poll. 4) The internet is, by nature, interactive. If you present topics of current interest and don't give people the ability to interact with them, people will go elsewhere to where they can. 5) Most people want to have a discussion about issues that of importance to them, few simply want to sit and be lectured to.",0
68,"Question: Why is it that the contestants in these pageants are women not men? Answer: Because it's women who are judge primarily for their beauty. Stop dehumanizing women! Judge a woman as you judge a man- 'for the content of their character.' (hummm..rings familar; where did I hear similar words before?). Judge them for their kindness, intelligence, talent, strength, creativity... Test: Don't mention a woman's physical attributes if you would not feel compelled to mention the man's physical attributes in the same context.",1
69,"To reward Bibi Netanyahu for his aggressive and hostile actions by such a move would be criminal. It would make the removal of the embassy back to Tel Aviv by Trump's successor send a message we wouldn't want to send, but would find unavoidable if peace were to be achieved.",0
70,"Perhaps when the Arabs are ready to recognize their own culpability for their situation and stop blaming Israel, the US and Santa Claus for all their problems we might get a resolution to the conflict. When the land was divided between Arabs and Jews in 1948 it was an Arab army which swept into Israel, not an Israeli army which swept into the neighboring Arab countries. Arab Jews were expelled from Arab countries and Palestinians were expelled from Israel. For too long the Arabs have played an all or nothing game. The only peace they want is one with no Jewish State. Calling the entire area Palestine under Arab rule or using the euphemism of a non-denominational democratic Israel (in the Arab world of Islamic Republics?) the goal is the same: The eradication of the Jewish State. Palestinian leadership is so weak and so vulnerable to violent overthrow that they cannot make the tough choices of trading concessions with Israel. Only when there is strong leadership, one voice for the Palestinians, and widespread Palestinian support for trading concessions with Israel can there be peace.",1
71,"I wonder of what use my comments would be without that I stood by them. Do I honestly have any crucial wisdom to impart upon the world that would be of such benefit that even doing so anonymously would be of service to the community? Or does it just make me feel good to spew? But truthfully - the reaction given by the readership here - anonymous or not - has got to be a reasonable barometer of the feelings of the community, whether or not an individual feels comfortable posting as a person, or only as a glyph. And there is value in that for us all.",0
72,"This opinion made sense in the days before Semmelweis, when hospitals were unsanitary and mothers contracted fatal infections there. But that was over 150 years ago. Any obstetrician can tell you that a low risk pregnancy can turn into a critical emergency, in a hurry. Would you like to have an emergency Caesarian in your bedroom, without anaesthesia? Or a double funeral?",0
73,"I would support the idea of class-based vs. race-based admission affirmative action in college admissions. If it is true that race is a large factor in economic disadvantage and denied opportunities, then class based AA will address that. Otherwise, it creates more discrimination based on race, and assumptions (fair or not) that a student got in only because of race. While Texas does many things wrong, their 10% rule for the top two universities generally addresses this. It is very transparent, and everyone knows the expectation going in. The AA idea based on race is in itself racist, since it assumes that race alone is a factor in ability and achievement. As an example, if my child was 1/16 Chickasaw instead of 1/32 Chickasaw, he could have received a full ride. It has nothing to do with character, academic ability, or income. The whole thing is a big game designed to make the universities look good on paper to meet whatever goals they need to get funding. I don't see it helping the students and parents who are struggling to get in and pay the tuition to stay in.",1
74,"The single most important issue is 'portion size'. People don't need to change how they cook as much as they need to change how much they cook. My son gained weight when he left home, but when he lost 50 lbs with the help of a diet sold by a national franchiser, he realised that the amount of food that he was served at home (and complained about) was a normal portion size. Now he is much more thoughtful about what food he orders, even from the fast food chains. Try searching on the term 'portion distortion' and look at the 2 powerpoint presentations from the NIH. They are very useful in teaching patients about what to eat and how active you must be if you eat the large portions that are sold.",0
75,Beeches and access to them should be open to all. For those that argue the rights of private property and the free-market solutions they should remember it when it comes to flood insurance and disaster relief. The public should not have to open their purse for others sho build homes on what should be public commons.,1
