,claim,text,label
32,All countries should have the right to pursue a nuclear defence,Humanitarian missions would not be possible in states that have nuclear weapons.,0
33,All countries should have the right to pursue a nuclear defence,It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.,0
34,All countries should have the right to pursue a nuclear defence,The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons,0
35,All countries should have the right to pursue a nuclear defence,Other countries could strike against those developing nuclear weapons to protect themselves.,0
36,All countries should have the right to pursue a nuclear defence,"To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.",0
37,All countries should have the right to pursue a nuclear defence,The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.,0
38,All countries should have the right to pursue a nuclear defence,Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally,1
39,All countries should have the right to pursue a nuclear defence,Nuclear weapons give states valuable agenda-setting power on the international stage,1
40,All countries should have the right to pursue a nuclear defence,Countries with nuclear weapons have the ability to set their own agenda.,1
41,All countries should have the right to pursue a nuclear defence,States with nuclear weapons are afforded more authority to set agendas at international levels.,1
42,All countries should have the right to pursue a nuclear defence,"All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons",1
43,All countries should have the right to pursue a nuclear defence,All states have a right to nuclear self-defense.,1
44,All countries should have the right to pursue a nuclear defence,To use  nuclear weapons in defense of the nation is lawful for all countries.,1
45,All countries should have the right to pursue a nuclear defence,"countries have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon",1
46,All countries should have the right to pursue a nuclear defence,"all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons",1
47,All countries should have the right to pursue a nuclear defence,Possessing nuclear weapons will be counter to the peaceful interests of states,0
48,All countries should have the right to pursue a nuclear defence,Nuclear weapons can fall into the wrong hands.,0
49,All countries should have the right to pursue a nuclear defence,It's conceivable that the wrong people will have the weapons.,0
50,All countries should have the right to pursue a nuclear defence,The nukes can end up being used against us.,0
51,All countries should have the right to pursue a nuclear defence,Terrorists will steal nuclear weapons from poorly guarded arsenals,0
52,All countries should have the right to pursue a nuclear defence,[Iran specific] Iran has threatened to destroy Israel,0
53,All countries should have the right to pursue a nuclear defence,Iran has Israel targeted.,0
54,All countries should have the right to pursue a nuclear defence,No country has an inherent right to invade or use aggression against another.,1
55,All countries should have the right to pursue a nuclear defence,The United States has an obligation to protect international stability due to its unique military strength.,0
56,All countries should have the right to pursue a nuclear defence,The US must protect the international community.,0
57,All countries should have the right to pursue a nuclear defence,The US military is needed to ensure peace.,0
58,All countries should have the right to pursue a nuclear defence,"[Iran specific] Others, particularly Israel, would act if the United States did not",0
59,All countries should have the right to pursue a nuclear defence,"If the US does not act on Iran, Israel will",0
60,All countries should have the right to pursue a nuclear defence,Nuclear waste disposal is rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  ,0
61,All countries should have the right to pursue a nuclear defence,"Disarmament is impossible, rendering efforts to disarm pointless and simply wasteful",1
62,All countries should have the right to pursue a nuclear defence,"The abolition of nuclear weapons would actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons",1
63,All countries should have the right to pursue a nuclear defence,Proliferation of nuclear weapons increases the chances of nuclear accidents,0
64,All countries should have the right to pursue a nuclear defence,States will give terrorists nuclear weapons,0
65,All countries should have the right to pursue a nuclear defence,Irrational leaders make the possession of nuclear weapons dangerous,0
66,All countries should have the right to pursue a nuclear defence,It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims,0
67,We should allow death penalty for the worst of the worst criminals,Too many innocents killed,0
68,We should allow death penalty for the worst of the worst criminals,Many innocents have been killed because of the death penalty.,0
69,We should allow death penalty for the worst of the worst criminals,The death penalty has led to innocent people dying.,0
70,We should allow death penalty for the worst of the worst criminals,Can be reserved for the worst of the worst,1
71,We should allow death penalty for the worst of the worst criminals,The death penalty should be used for the worst cases.,1
72,We should allow death penalty for the worst of the worst criminals,The death penalty is saved for the most horrible criminals.,1
73,We should allow death penalty for the worst of the worst criminals,Necessary for punitive justice,1
74,We should allow death penalty for the worst of the worst criminals,The death penalty should be used if someone commits first-degree murder.   They would receive the same treatment that they gave.,1
75,We should allow death penalty for the worst of the worst criminals,The death penalty should apply as punishment for first-degree murder; an eye for an eye.,1
76,We should allow death penalty for the worst of the worst criminals,Killers must die to satisfy society,1
77,We should allow death penalty for the worst of the worst criminals, There are more efficient policies than death penalty,0
78,We should allow death penalty for the worst of the worst criminals,Other policies are more efficient than using the death penalty.,0
79,We should allow death penalty for the worst of the worst criminals,The death penalty is not an efficient policy.,0
80,We should allow death penalty for the worst of the worst criminals,we are increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight. ,0
81,We should allow death penalty for the worst of the worst criminals,It is dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization.,0
82,We should allow death penalty for the worst of the worst criminals,The death penalty for terrorists causes their organizations to hate more and to idolize their dead.,0
83,We should allow death penalty for the worst of the worst criminals,Execution helps alleviate the overcrowding of prisons.,1
84,We should allow death penalty for the worst of the worst criminals,We could make more room in the prison with execution punishment.,1
85,We should allow death penalty for the worst of the worst criminals,The solution to the overcrowding in prisons is execution.,1
86,We should allow death penalty for the worst of the worst criminals,The death penalty can produce irreversible miscarriages of justice.,0
87,We should allow death penalty for the worst of the worst criminals,The death penalty is too absolute and too irreversible.,0
88,We should allow death penalty for the worst of the worst criminals,The death penalty is not justice.,0
89,We should allow death penalty for the worst of the worst criminals,The death penalty is a financial burden on the state.,0
90,We should allow death penalty for the worst of the worst criminals,The expense of the death penalty financial hardship on the state.,0
91,We should allow death penalty for the worst of the worst criminals,It's a financial loss to the state enforcing the death penalty.,0
92,We should allow death penalty for the worst of the worst criminals,The penalty of death is a crime deterrent.,1
93,We should allow death penalty for the worst of the worst criminals,Crime can be prevented by threatening the death penalty.,1
94,We should allow death penalty for the worst of the worst criminals,The death penalty acts as a deterrent to crime,1
95,We should allow death penalty for the worst of the worst criminals,"With the death penalty in place, crime is deterred",1
96,We should allow death penalty for the worst of the worst criminals,The death penalty deters crime.,1
97,We should allow death penalty for the worst of the worst criminals,Execution prevents the accused from committing further crimes.,1
98,We should allow death penalty for the worst of the worst criminals,State-sanctioned killing is wrong.,0
99,We should allow death penalty for the worst of the worst criminals,It's wrong to have the state enforce killing.,0
100,We should allow death penalty for the worst of the worst criminals,The sanctioning of the State to kill is just immoral.,0
101,Sunbeds should be banned,"Unmanned salons are legal, yet deadly",1
102,Sunbeds should be banned,Unmanned salons are deadly,1
103,Sunbeds should be banned,Unmanned salons are very deadly,1
104,Sunbeds should be banned,"Unmanned salons, while legal, are also deadly",1
105,Sunbeds should be banned,"Unmanned salons may be legal, but they also may be deadly",1
106,The prevalence of ‘African mercenaries’ is decreasing,Decreased Conflict and the end of the mercenary age,1
107,The prevalence of ‘African mercenaries’ is decreasing,The end of the mercenary age is related to decreased conflict.,1
108,The prevalence of ‘African mercenaries’ is decreasing,Mercenaries are still hired by NGOs ,0
109,The prevalence of ‘African mercenaries’ is decreasing,NGOs still hire mercenaries.,0
110,The prevalence of ‘African mercenaries’ is decreasing,There is still a place for mercenaries working for NGOs.,0
111,The prevalence of ‘African mercenaries’ is decreasing,Mercenaries still have a presence in coups,0
112,The prevalence of ‘African mercenaries’ is decreasing,Mercenaries are still often involved in political coups.,0
113,The prevalence of ‘African mercenaries’ is decreasing,Mercenaries can still be found in coups.,0
114,The prevalence of ‘African mercenaries’ is decreasing,Legislation against mercenaries ,1
115,The prevalence of ‘African mercenaries’ is decreasing,Laws are being passed against mercenaries.,1
116,We must use Unmanned Aerial Vehicles to strike terrorist targets,Using drones blurs the distinction between war and peace.,0
117,The right to anonymous posting on the internet should be protected by law,Internet anonymity allows people to speak the truth without fearing harm to their careers,1
118,The right to anonymous posting on the internet should be protected by law,Internet anonymity encourages honesty.,1
119,The right to anonymous posting on the internet should be protected by law,Internet anonymity enables citizens to exercise their right to free speech,1
120,The right to anonymous posting on the internet should be protected by law,Anonymity online allows for free speech.,1
121,The right to anonymous posting on the internet should be protected by law,Internet anonymity leads to spam,0
122,The right to anonymous posting on the internet should be protected by law,Span proliferates with anonymity on the internet.,0
123,The right to anonymous posting on the internet should be protected by law,Internet anonymity increases cyberbullying and trolling,0
124,The right to anonymous posting on the internet should be protected by law,Individuals are more likely to bully and troll when they are anonymous.,0
125,The right to anonymous posting on the internet should be protected by law,Cyberbullying and trolling are more common when people's internet activity is anonymous.,0
126,The right to anonymous posting on the internet should be protected by law,Internet anonymity allows people to experiment and construct with new social identities,1
127,The right to anonymous posting on the internet should be protected by law,People are able to create new social identities when the internet is anonymous.,1
128,The right to anonymous posting on the internet should be protected by law,The anonymity of the internet allows people to create new social identities for themselves.,1
129,The right to anonymous posting on the internet should be protected by law,Internet anonymity allows internet users to engage in illegal activities ,0
130,The right to anonymous posting on the internet should be protected by law,"When internet users are anonymous, they are more easily able to engage in illegal activities.",0
131,The right to anonymous posting on the internet should be protected by law,There is less deterrance to illegal activities on the internet when people are able to remain anonymous.,0
132,There should be no permanent members of the UN Security Council,It would make the UNSC more effective and efficient,1
133,There should be no permanent members of the UN Security Council,Argument 2: UNSC sanctions become powerless without PM,1
134,There should be no permanent members of the UN Security Council,Any decisions imposed by the previous Security Council risk being annulled when the new members rotate in.,1
135,There should be no permanent members of the UN Security Council,"UN sanctions would lose power, as they could be revoked by the new Security Council.",1
136,There should be no permanent members of the UN Security Council,"It will lead to fair regional representation, as well as make it more legitimate and flexible",1
137,There should be no permanent members of the UN Security Council,"With rotation in its membership, the UN Security Council would be a more fair and flexible in its representation.",1
138,There should be no permanent members of the UN Security Council,"By removing permanent membership, the Security Council would be viewed as more legitimate, as it can better represent all regions of the world.",1
139,There should be no permanent members of the UN Security Council,Argument 1: PM serves interests of developing countries,1
140,A ‘wall’ on the shared USA and Mexico border would be ineffective,At the very least it slows people down,0
141,Britain should scrap the monarchy,The Monarchy is backward and prejudiced,1
142,Britain should scrap the monarchy,The Monarchy system is biased and inefficient.,1
143,Britain should scrap the monarchy,Regressive and biased is how the Monarchy system is.,1
144,Britain should scrap the monarchy,The Monarchy contrasts the meaning of Democracy,1
145,Britain should scrap the monarchy,It is costing the tax payers money which could be better spent,1
146,Britain should scrap the monarchy,Tax payers money could be spent more appropriately.,1
147,Britain should scrap the monarchy,The tax payers are the ones losing out on money that could be spent properly.,1
148,Britain should scrap the monarchy,tax payers money is valuable,1
149,Britain should scrap the monarchy,tax payers money should be useful only to the public,1
150,Britain should scrap the monarchy,Monarchy is a child's creation,1
151,Britain should scrap the monarchy,Monarchy is just childish.,1
152,Britain should scrap the monarchy,Monarchy is an infantile idea.,1
153,Britain should scrap the monarchy,it is high time to scrap monarchy,1
154,Britain should scrap the monarchy,monarchy in britain led to lots of chaos in the past,1
155,Britain should scrap the monarchy,Most other countries in Europe have abandoned the monarch,1
156,Britain should scrap the monarchy,The head of state should be a position that is separate and distinct from politics,0
157,Britain should scrap the monarchy,Politics should not include the head of the state as in a monarchy.,0
158,Britain should scrap the monarchy,There should be a separation from the head of state and politics.,0
159,Britain should scrap the monarchy,There is no divine right to leadership or privilege,1
160,Britain should scrap the monarchy,Leadership and privilege are not divine rights.,1
161,Housewives should be paid for their work,Paying housewives for their work is an important form of economic empowerment.,1
162,Housewives should be paid for their work,Being paid as a housewife is economically empowering,1
163,Housewives should be paid for their work,Paid housewives have a better economic power,1
164,Housewives should be paid for their work,Payment and obligation works differently in public and in private.,0
165,Housewives should be paid for their work,Payments would be more difficult to quantify in private transactions,0
166,Housewives should be paid for their work,It would be too inconvenient to make payments to housewives,0
167,Housewives should be paid for their work,Paying housewives is financially impractical.,0
168,Housewives should be paid for their work,Paying housewives would be inconvenient,0
169,Housewives should be paid for their work,Paying housewives would be difficult to achieve in the real world,0
170,Housewives should be paid for their work,Housewives are entitled to pay,1
171,Housewives should be paid for their work,Women who are housewives should be paid,1
172,Housewives should be paid for their work,Paying housewives reduces social mobility,0
173,Housewives should be paid for their work,"Housewives would lack incentives to find better paying, more fulfilling work",0
174,Housewives should be paid for their work,Paying housewives would give them less incentives to find better conditions,0
175,Housewives should be paid for their work,Paying housewives promotes more positive images of women and family life,1
176,Housewives should be paid for their work,"When a housewife is paid, they have a better stand in society",1
177,Housewives should be paid for their work,Being paid as a housewife promotes more positive images,1
178,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Fair use can be misused,0
179,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Fair use is prone to abuse.,0
180,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Fair use isn't failsafe and can be used in direct contention against the original intent of the law.,0
181,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Establishes a Clear Brightline in Favor of Data Freedom,1
182,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Creates an easy to understand outline in support of Data Freedom.,1
183,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,Provides the foundation which supports a rational set of ideas which foster an ideal in favor of Data Freedom.,1
184,Remove Bush tax cuts for the wealthy,Expiring Tax Cuts Would Cause a Double Dip Recession,0
185,Remove Bush tax cuts for the wealthy,double dip recessions are caused by expiring tax cuts,0
186,Remove Bush tax cuts for the wealthy,to avoid a double dip recession do not let tax cuts expire,0
187,Remove Bush tax cuts for the wealthy,Removing Tax Cuts Would Reduce the Deficit,1
188,Remove Bush tax cuts for the wealthy,you can reduce the deficit by removing tax cuts,1
189,Neil Armstrong did actually walk on the Moon,the USA had every incentive to lie,0
190,Neil Armstrong did actually walk on the Moon,There are problems with the pictures,0
191,Neil Armstrong did actually walk on the Moon,there are issues with the pictures,0
192,Neil Armstrong did actually walk on the Moon,The pictures have issues,0
193,Cannabis should be legalised,Cannabis is a gateway drug,0
194,Cannabis should be legalised,using cannabis leads to other drugs,0
195,Cannabis should be legalised,being involved with people who use cannabis exposes you to other drug use,0
196,Cannabis should be legalised,Uncertainty over the effects of cannabis means it is best to be prudent,0
197,Cannabis should be legalised,before there is enough known about cannabis use it is wise to be careful,0
198,Cannabis should be legalised,People should be allowed to do whatever they want to their own bodies,1
199,Cannabis should be legalised,Cannabis is harmful,0
200,Cannabis should be legalised,cannabis makes you lazy,0
201,Cannabis should be legalised,smoking cannabis keeps you from focusing,0
202,Cannabis should be legalised,Cannabis opens the mind in a positive and beneficial manner,1
203,Cannabis should be legalised,using cannabis has more benefits than not using,1
204,Cannabis should be legalised,there are no negative side effects to the use of cannabis,1
205,Cannabis should be legalised,"If cannabis was legalized, it could be regulated",1
206,Cannabis should be legalised,If legalized it can be monitored and taxed.,1
207,Cannabis should be legalised,Legal weed is subject to laws and is safer.,1
208,Cannabis should be legalised,"Alcohol and tobacco are more harmful drugs, yet remain legal.",1
209,Cannabis should be legalised,Other addictive substances are legal.,1
210,Cannabis should be legalised,Banning weed will lead to other bans.,1
211,Israel should recognise the Palestinian right of return,The Palestinian refugee crisis was created and is perpetuated by the Arab states and the Palestinians themselves,0
212,Israel should recognise the Palestinian right of return,Palestinians have a right to return under international law,1
213,Israel should recognise the Palestinian right of return,The right to return is granted to Palestinians under international law.,1
214,Israel should recognise the Palestinian right of return,International law enables Palestinians to have the right to return.,1
215,Israel should recognise the Palestinian right of return,No real 'right of return' exists in international law,0
216,Israel should recognise the Palestinian right of return,There really is no international law allowing for the right of return .,0
217,Israel should recognise the Palestinian right of return,The international law of right of return is not a true law.,0
218,Israel should recognise the Palestinian right of return,A Palestinian right of return would destroy the 'Jewish State' in Israel,0
219,Israel should recognise the Palestinian right of return,"The ""Jewish State"" in Israel would be destroyed if Palestinians were granted the right of return.",0
220,Israel should recognise the Palestinian right of return,"In Israel, the ""Jewish State"" would be destroyed if there is a Palestinian right of return.",0
221,Britain should give up its EU rebate,The rebate should go in exchange for CAP reform,1
222,Britain should give up its EU rebate,CAP revision should be a priority trade-off for Britain's EU rebate,1
223,Britain should give up its EU rebate,The Rebate makes membership acceptable to the British people,0
224,Britain should give up its EU rebate,The Rebate is essential to preserve domestic support in Great Britain.,0
225,The integration of Africa through the African Union can succeed,The AU can bring peace to the continent,1
226,The integration of Africa through the African Union can succeed,African Union is promoting peace in the African continent. ,1
227,The integration of Africa through the African Union can succeed,"Through the AU, there can be peace brought to the continent",1
228,The integration of Africa through the African Union can succeed,One way to bring together the continent of Africa is though the AU,1
229,The integration of Africa through the African Union can succeed,African international organisations do not have a history of effectiveness,0
230,The integration of Africa through the African Union can succeed,Integration will fix the problem of borders,1
231,The integration of Africa through the African Union can succeed,Integration will mitigate the tension on border issues. ,1
232,The integration of Africa through the African Union can succeed,Integration of Africa solves the border issues. ,1
233,The integration of Africa through the African Union can succeed,Having integration would solve to border problem,1
234,The integration of Africa through the African Union can succeed,There would be no more border issues if there was integration,1
235,The integration of Africa through the African Union can succeed,The role of leaders will prevent success,0
236,Taxes on smoothies and fruit juices should be reduced,Removing VAT would increase sales of healthy drinks,1
237,The International Criminal Court is a force for good,"The ICC does not have enough checks on prosecutorial powers, inviting prosecutorial abuse.",0
238,The International Criminal Court is a force for good,"The prosecutorial abuse potential is high, due to its lack of checks on its power.",0
239,The International Criminal Court is a force for good,The ICC needs more checks on its prosecutorial authority in order preclude abuse of power.,0
240,The International Criminal Court is a force for good,The ICC is not democratic in nature and is likely to be used as a political tool by powerful nations.,0
241,The International Criminal Court is a force for good,The EU has a high potential to be used as a political ploy as it is not known for its democracy.,0
242,The International Criminal Court is a force for good,"The ICC is mainly not a democratic institution, thereby allowing for political malfeasance.",0
243,The International Criminal Court is a force for good,The ICC interferes with national operations (both military and humanitarian) because of how loosely the Rome Statue can be interpreted.,0
244,The International Criminal Court is a force for good,The ICC impedes a nation's core operations as as Rome Statue is not rigid in its interpretation,0
245,The International Criminal Court is a force for good,The Rome Statute of the ICC hinders national operations due to its wide flexibility.,0
246,The International Criminal Court is a force for good,The ICC infringes upon national sovereignty by inherently implying that there is a higher court nations must answer to.,0
247,The International Criminal Court is a force for good,The ICC's criminal court marginalizes individual national courts.,0
248,The International Criminal Court is a force for good,The ICC messes up national independence by marginalizing individual member courts.,0
249,Speed limits should be reduced,Reducing speed reduces deaths,1
250,Speed limits should be reduced,slower speeds prevent death,1
251,Speed limits should be reduced,"the slower the speed, the less death",1
252,Speed limits should be reduced,"By reducing speeds, you can also reduce deaths",1
253,Speed limits should be reduced,With reduced speed comes reduced deaths,1
254,Speed limits should be reduced,Negative impact on the environment ,1
255,Speed limits should be reduced,Government have illegitimate reasons behind lowering the speed limit ,0
256,Speed limits should be reduced,High tax on cars is not value for money if you have to drive at a snail's pace,0
257,Throw Russia out of the G8,The biggest action the west can take without sanctions,1
258,Throw Russia out of the G8,Simply narrows the G8 making it irrelevant,0
259,Arming the police is a good idea,It is hypocritical and will not benefit civilians,0
260,Arming the police is a good idea,Innocent people are always going to be a factor in arming a police force.,0
261,Arming the police is a good idea,"When the police are armed, mistakes will lead to innocent people getting shot",0
262,Arming the police is a good idea,Arming the police will cause an escalation in criminal violence,0
263,Arming the police is a good idea,Policing is a dangerous job. Police officers should be allowed to arm themselves,1
264,Arming the police is a good idea,"If the police are not armed, only the bad guys will have guns.",1
265,Arming the police is a good idea,An armed police force will deter criminal behaviour,1
266,Arming the police is a good idea,Arming the police makes communities feel safer,1
267,Arming the police is a good idea,"Everyone saw the extent of damage caused several years ago when the Hollywood, CA police department was completely outgunned.  The police had to break into a gun store to get better fire power.  Many lives could have been saved if they had the proper fire power in the first place.",1
268,Arming the police is a good idea,Arming the police is a necessary step,1
269,Arming the police is a good idea,It is never a good idea when the police force is out gunned by the criminals.,1
270,Arming the police is a good idea,One of the first principals of defense is to have superior resources.  ,1
271,Arming the police is a good idea,The police should be equipped to react to contemporary social problems,1
272,Arming the police is a good idea,Arming the police does not deal with the causes underlying violence,0
273,Arming the police is a good idea,"Just because police have weapons, it doesn't mean the main issues of violence are being dealt with.",0
274,Arming the police is a good idea,arming police will not help,0
275,Arming the police is a good idea,arming police will not help violence,0
276,Arming the police is a good idea,Arming the police will do more harm than good,0
277,Arranged marriages in EU countries should be banned.,It’s impossible to police such a law.,0
278,Arranged marriages in EU countries should be banned.,The police cannot enforce the law.,0
279,Arranged marriages in EU countries should be banned.,Regulating arranges marriages in EU countries would be impossible.,0
280,Arranged marriages in EU countries should be banned.,It would be impossible to enforce a ban on arranged marriages in EU countries.,0
281,Arranged marriages in EU countries should be banned.,The state should not be allowed to intrude in such personal matters,0
282,Arranged marriages in EU countries should be banned.,The state should not regulate such personal matters. ,0
283,Arranged marriages in EU countries should be banned.,Personal matters should not be regulated by the state,0
284,Arranged marriages in EU countries should be banned.,Arranged marriages remains a personal choices and as such shouldn't be banned by the state.,0
285,Arranged marriages in EU countries should be banned.,It will cause resentment and make certain communities feel targeted. ,0
286,Arranged marriages in EU countries should be banned.,To ban arranged marriages in EU countries would initiate resentment from certain communities.,0
287,Arranged marriages in EU countries should be banned.,Several communities in EU countries would feel targeted and begin to resent authorities should arranged marriages be banned.,0
288,Arranged marriages in EU countries should be banned.,Integration and the acceptance of Western values are important,1
289,Arranged marriages in EU countries should be banned.,The ban will give powers to police to crack down on the murky underworld of forced marriages,1
290,Arranged marriages in EU countries should be banned.,Forced marriage is a barrier to integration,1
291,Parents have to be allowed to monitor their children's online and mobile communications,Monitoring raises digital awareness among parents.,1
292,Parents have to be allowed to monitor their children's online and mobile communications,Monitoring children's use of electronics raises digital awareness.,1
293,Parents have to be allowed to monitor their children's online and mobile communications,Children's internet use should be monitored.,1
294,Parents have to be allowed to monitor their children's online and mobile communications,Monitoring decreases children’s involvement with pornography. ,1
295,Parents have to be allowed to monitor their children's online and mobile communications,Parents can determine which websites children visit.,1
296,Parents have to be allowed to monitor their children's online and mobile communications,It should be acceptable for parents to prevent children from visiting pornographic websites. ,1
297,Parents have to be allowed to monitor their children's online and mobile communications,Monitoring prevents cyberbullying.,1
298,Parents have to be allowed to monitor their children's online and mobile communications,Cyberbullying may be reduced by parents' monitoring children's online communications. ,1
299,Parents have to be allowed to monitor their children's online and mobile communications,Monitoring allows parents to correct children who are wasting their time. ,1
300,Parents have to be allowed to monitor their children's online and mobile communications,Parents can monitor whether children are use time online effectively.,1
301,Parents have to be allowed to monitor their children's online and mobile communications,Parents can make sure children aren't wasting their time online. ,1
302,Institute a mandatory retirement age,Western workers are remaining healthier for longer,0
303,Police body cameras should be allowed,"Police body cameras invade the privacy of citizens, expose victims and witnesses of crimes, and damage police-public relationships.",0
304,Police body cameras should be allowed,What risks are there to individuals if police wear body cameras.,0
305,Police body cameras should be allowed,Explanation of police body camera effects.,0
306,Police body cameras should be allowed,Police body cameras improve police accountability and protect officers from false accusations of misconduct,1
307,Police body cameras should be allowed,Police Body Cameras allow true facts to come out in alleged cases of Police misconduct,1
308,Police body cameras should be allowed,Police officers are more accountable when wearing body cameras,1
309,Police body cameras should be allowed,Police body cameras are too expensive and are unreliable.,0
310,Police body cameras should be allowed,Police body cameras increase the safety of the public and the police,1
311,Police body cameras should be allowed,Police Body Cameras ensure safer interactions between the Police and the public,1
312,Police body cameras should be allowed,Police body cameras decrease the safety of police officers and negatively affect their physical and mental health.,0
313,Police body cameras should be allowed,What are the negative effects of police body cameras.,0
314,Police body cameras should be allowed,Police body cameras are a good tool for learning and have strong support from members of the public.,1
315,Police body cameras should be allowed,Will police body cameras teach police anything.,1
316,We should restrict violent video games,Violent video games desensitise users,1
317,We should restrict violent video games,Violent games normalizes forms of violence.,1
318,We should restrict violent video games,Restrictions would be ineffective,0
319,We should restrict violent video games,Restricting video games only makes people more interested in them. ,0
320,We should restrict violent video games,Restricting violent video games will have no correlation to a reduction in societal crime.,0
321,We should restrict violent video games,Playing violent video games leads to violent behaviors.,1
322,We should restrict violent video games,people immitate video games.,1
323,We should restrict violent video games,violent games make people agressive.,1
324,We should restrict violent video games,Research has shown violent video games encourage criminal and anti-social behaviour,1
325,We should restrict violent video games,Violent Video Games cause Violent Behaviour,1
326,We should restrict violent video games,"The government has a right to restrict the sale of violent video games, in order to protect law and order.",1
327,We should restrict violent video games,"In order to maintan a well funcitoning society, the government has a right to restrict violent games which could hurt people.",1
328,We should restrict violent video games,Video games are content that has a right to be censored for the mass majority's public safety.,1
329,We should restrict violent video games,The Responsibility Lies With Parents,0
330,We should restrict violent video games,Violent Video Games Cause Social Interaction Problems,1
331,We should restrict violent video games,Violent video games lead to inappropriate social interactions.,1
332,We should restrict violent video games,Violent video games are detrimental to social interaction.,1
333,We should restrict violent video games,Gun violence is less prevalent in countries with high video game use.,0
334,We should restrict violent video games,Countries with high video game use see less gun violence,0
335,We should restrict violent video games,"Studies have shown that violent video games can have a positive effect on kindness, civic engagement, and ""prosocial” behaviors.",0
336,We should restrict violent video games,Violent video games have been shown to have positive effect on kindness and cooperative behavior.,0
