text,label
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER finger crossed for you nekomi,although it would not be necessary you are going as an arrow through the test.
ohayou gozaimasu nekosan 😁🥶💙😁 HTTP",0
it really is this simple #votebluetosaveamerica HTTP,0
biden is going to create a million new republicans tonight,1
i dont agree with everything trump says and i hate that. because itd be so much easier to just vote trump and that be it. but i cant. i just dont like trump. :( but i dont like biden either. i like more things liberally then conservatively. ugh idk. this is really just stressing,0
pray that the #gopconvention doesn't use gordon's speech in campaign literature. it is a damming indictment against the democrats in terms of the democratic-led states allowing looters to burn down their cities.,1
when it comes to voting for president of the united states you are voting for policy over personality. you are not voting for who you think you would be friends with. you may not like trump but his policy blows away joe biden’s and that is far more important #debates2020,1
"today’s #democraticconvention is pretty awesome so far, and gives me hope. praying we can possibly piece back the destruction caused by trump and his administration these past 3+ years. goodness and common sense still exists. #votebluetosaveamerica #voteblue #bidenharris2020",0
once again @USER speaks truth clearly and succinctly never get tired of rudy and the great @USER  both speak to the heart of the matter! #americafirst #4moreyears,1
"@USER @USER problem with biden is that, even though trump and gop are prime targets to get bashed constantly for corruption, he can’t say anything for fear of clapback against hunter. nevertheless,  #votebluetosaveamerica",0
"@USER if donald trump was as ""out of touch"" as speaker pelosi and vice president biden, 205,942 americans would not have died of #covid19.",0
frank ocean encourages fans to vote trump out of office HTTP,0
"today the ignorance &amp; racism of the #complicitcorruptgop is on full display:
they are sick
#votethemallout2020
#votebluetosaveamerica
#votebluetoendthisnightmare

these are not patriotic americans
they are #whiteprivilege #fakechristians
@USER
@USER
@USER HTTP",0
@USER @USER come up with something new. this is so yesterday. it’s no longer cute. #biden2020,0
herschel walker nails it again. “we will not solve anything with a closed fist.” #makeamericagreatagain,1
"""former director of national intelligence dan coats took seriously the possibility that trump was “in putin’s pocket” and “suspected the worst” of the president. trump, coats reportedly told mattis, “doesn’t know the difference between the truth and a lie.""#maga #trumpisatraitor",0
"i liked #warren, but idc who he picked #biden2020 always had my vote! 45 must go and that's not up for debate. next subject please. there is no need for a drag session.  he chose who he chose.",0
@USER @USER @USER it means that the good people in maine need to elect @USER &amp; side step sue into retirement. #voteblue maine 🦞🇺🇸,0
@USER he’s a child rapist always feeling on kids! always in pictures next to kids... do your research please wake up!!  im here with trump! #makeamericagreatagain,1
"@USER @USER @USER dear @USER , shall we count how many people have resigned from your administration? some even wrote books about working amongst your corruption. they couldnt stand working for you! thank you @USER 💙💙💙#biden2020",0
@USER @USER hard to defend trump even for @USER .. ok just pretend ur mad at the classy man we all wish was the president,0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER great list. every resistance voice matters.  please follow or follow me back.  #blm #voteblue #maskup btw, in order to keep my followers and following numbers balanced i give people a week to follow back. i want a conversation with other resisters not numbers",0
back during the caucuses i voted for biden. not sure he was even my favorite candidate. i think butigieg would've made a better candidate. he would have been a better debater. but i supported biden because i thought he was the best chance to beat trump.,0
"@USER .@USER @USER we need change to bring improvement to kentucky.  6 terms =36yrs and still nothing for us as he lines his pockets...#voteoutthegop #votebluetosaveamerica 

vote #amymacgrathky HTTP",0
#votered #democrat mayors are betraying law-abiding citizens by siding with rioters and the mob HTTP,1
@USER the best firefighters in the world! thank u! 🗽🎊❤️💪🌱🗳🎓🤗#gotv #climatecrisis #ocfa #voteblue2020,0
"must watch!
new! spotlight edition!

the patriot hub collection
in pursuit of truth @USER 
9/5/2020 no.14

real news!
database videos! links!
#amd09ipot #kag #potus #17plusbestof9520

HTTP",1
trump’s 'full and complete' health plan promise joins a long list of unkept vows #votebluenomatterwho #voteblue2020 #teamjoe #biden2020  HTTP,0
@USER @USER enjoy the present....cause the future is gonna suck for the left and the socialists. #trump2020 #votered2020,1
@USER rise up #patriots! we can no longer sit by and be silent. this is our america. let’s show these marxist and antifa thugs what “woke” really means! #trump2020 #thiswewilldefend 🇺🇸❤️,1
"@USER oh, i hope he does because obama/biden aced that compared to the catastrophe trump created.",0
"yeesss, everything is on sale! tees $13 

""palpatine 2020 - make the galaxy great again""  HTTP

#tee #tshirt #hoodies #mask #facemask
#palpatine #thedeadspeak #emperor #starwars #sith #riseofskywalker #theriseofskywalker #trump2020 #trump #dumptrump #parody HTTP",0
"🤣 mil aides coming forward... aft what happened 2 ltc vindman
👏 sen. d.
#maga #maga2020 #maga2020landslide #kag2020landslidevictory #kag2020 #kag2020trumpvictory #kag 
sen. tammy duckworth 'appalled' by trump's reported comments denigrating fallen troops
HTTP",1
@USER weird how i don’t believe the story your telling. almost sounds like your veering towards conspiracy there bob! #trump2020 #livewithit,1
revealed: trump campaign strategy to deter millions of black americans from voting in 2016 HTTP,0
"@USER @USER @USER @USER your hate for trump, blinds you to the truth. it is not he, who is blatantly corrupt, but his opposition. 

you will know in time. and we will forgive your ignorance. 

#enjoytheshow
#trump2020",1
".@USER can’t draw a crowd,at all! #laughingstock #sleepyjoebiden check out any @USER rally! #energy #freeland #freelandmichigan #trump2020landslide #trump2020 #jobs #stockmarket #liberalismisamentaldisorder",1
"@USER nope...its trump himself!!  🧐
he wants everyone to look into how these tax laws got passed...and who was in office for the last 47 yrs while these were in effect?  that'd be biden letting the rich get off!😜
trump = anonymous source.😆😆 HTTP",1
@USER 10$ and i vote for biden @ pineapplehead #venmo @USER #fucktrump,0
"the reason we are “loud and proud” is because one day we may very well be silenced. 

#fightforfreedom #usa #fridaymorning #patriot #trump #womenfortrump #maga 🇺🇸",1
thank you #nysutvotes2020 for makng calls tonite for #bidenharris2020 thanks ⁦@USER⁩ for joining us.... and talking about the stakes in pa... HTTP,0
"witnessing the proud, diverse and optimistic individuals across the us nominating joe biden in the roll call vote is so inspiring! #biden2020 #bidenharris2020",0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER thank you for the mention great patriot!!! ❤️👊🏼🇺🇸🦅@USER its ‘past’due time, ‘we the people’ take back our country from this sinister left!!! 🤬💪🏼🙏🏼🎚❤️💪🏼🗽🦅🇺🇸 #armyfortrump #unitedwestand #dividedwefall #votered2saveamerica #kag2020 #wwg1wga 🇺🇸🦅 HTTP",1
i wish @USER were more like lincoln or kennedy. bruh. go see a movie or go for a drive. clear your head. #maga,1
@USER i like this sign much better : at my nieces elementary school in missouri 🇺🇸 #alllivesmattter #equalityforall #trump2020 #trumplandslide2020 #trumplandslidevictory2020 #2ndamendment #teachersforsafety￼ HTTP,1
"@USER @USER i agree &amp; have believed that since 2016, &amp; re' the lies about mail ballots it's offensive. alot of hard work, redundancy &amp; verification goes into the certification of mail ballots, both upon request &amp; when received. i know, i supervised the redundant process for 15 yrs

#voteblue",0
"oh bless her heart.  she asking biden for a pardon.
#trump2020 #vote2020 #trumptaxes HTTP",1
keep your eyes on the elections prize and vote out the bastard @USER and his bastards republicans on november3rd . #voteblue #voteforbiden2020,0
@USER why is he a racist? #trump2020 #debates2020,0
"“the current president has cloaked america in darkness for far too long. too much anger, too much fear, too much division,"" the former vice president said. ""we can and will overcome this season of darkness.""

#bidenharris2020 #demconvention2020 #joebiden #msnbc",0
@USER you are supposedly the president!   you knew!  pence knew!  mcconnell knew!  you killed americans!!!  #trumptapes #trumpknew #mitchknew #penceknew #votebluetosaveamerica HTTP,0
@USER @USER @USER @USER you are a brainwashed idiot! #trump2020 HTTP,1
"not sure #donaldtrump, #foxnews and his other friends have cottoned on to #joebiden or #bidenharris smart strategy for #election2020

they've realized it's better to just keep quiet, as everytime #trump opens his mouth, he loses votes outside of his base
HTTP",0
@USER @USER wow! your stupidity made you trend on twitter for alittle while. congrats on being somewhat relevant for the first time in over 25 years. #resisttrump #biden2020,0
"@USER it’s not very hard to appear more capable and ready than trump, luckily! he’ll make a clown of himself/rant on twitter after anyway 😑",0
"f.d.a. ‘grossly misrepresented’ blood plasma data, scientists say HTTP",0
"@USER thank you mr. president for taking the manufacturing of medicines away from china. this should never have happened in the first place. #maga, #godwins, #trump2020",1
"@USER wasn't that your promise 4 years ago? wtf? you had a republican house and senate for two years, yet you accomplished nothing. we will make america great again by voting for joe biden #resigntrump  #racistinchief  #treasonoustraitortrump  #trumpisacompletefailure  #biden2020",0
"it's nice to be able to hide behind a twitter profile. but donald trump is the president, not a scared 15 year old with severe identity issues. vote him out. #biden2020",0
@USER your quote about donald trump not being able to step foot in new york is despicable #trump2020,1
is biden high? #trump2020 #presidentialdebate2020,1
"i want joe biden to denounce planned parenthood and confirm its a black genocide.

#trump2020 #blacksfortrump #debates2020",1
"@USER @USER his phone number is 503-823-4120.  call his office and leave a message.  this has to end!  portland is destroying lives, communities, basic civil rights all to let the angry mobsters kill, destroy and terrorize.  #walkaway #trump2020",1
"thank you, #joebiden ! you are doing an amazing job standing up to this sham of a president. thank you!!!!",0
"#rt @USER: rt @USER: #demdebate moderator: what will you do about child poverty?

elect @USER should be the answer because...

almost 650,000 children raised by single moms have risen out of poverty under his leadership!",1
remember that foreign leaders and policy makers have to talk to trump... this is how he acts. disgusting #debates2020,0
"@USER you bet your russian asset they did. 

#gop ""skinny bill""
-3-7b 
-no $1200 stimulus checks
-cuts add'l unemployment benefits from $600 to $300
-cuts #usps aid from 25b to 10b

it wasn't a relief bill for americans.  it was a re-election gambit for at-risk senate republicans. 😒 HTTP",0
"@USER girlfriend your only allowed @ ptown keep your 
#maga there where belongs
#maga = more against ""gay""  americans 
great 4u keep 💋 up to little donny u stupid 💩",0
not surprised that joe biden couldn't name one law enforcement agency that supports him. it was like crickets when president trump asked him #backtheblue #wednesdaymorning #debates2020 #trump2020 #maga #liberalismisamentaldisorder #policelivesmatter #trump #bidenharris2020,0
which ever news organization is hosting the next debates - please turn off trumps mic when it's not his turn!#debates2020,0
@USER @USER fellow patriots i’ve been trying to get to 200 followers. i will follow back! thanks! #maga,1
@USER good sign! #voteblue HTTP,0
please help support our patriotic project. please visit our gofundme page and share or retweet! thank you. #patriotsunited #maga2020 #trump2020 #voteredtosaveamerica2020 HTTP,1
"@USER @USER @USER thank you president trump!!!
best president ever!!!
#trump2020 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",1
trump lies. trump manipulates. trump is a con artist. #debate2020 #debatetuesday,0
"@USER @USER you know who he is.
you knew who he was when u said he acts in ways we teach kindergarteners not to.
but u believe ur political fortunes r tied to his base so u sell your morals for power.
you are as bad as him.
#complicitgop 
#votebluenomatterwho",0
@USER @USER - i follow all back #trump2020,1
"@USER @USER yes wallace was biased, leaned towards biden. asked questions putting trump on defensive. he did not shut down bidens lies. 

trump went right into their trap attacking....trump has a long list of accomplishments. instead of attacking...stay on his list...biden has no list !!!",0
"@USER i mean, imo, you must first get a 'rotten tomatoes' equivalent for your field of work .. for converting a potus' ability to network, negotiate &amp; rebalance into, in your words, ""clandestine &amp; collusion"".  america &amp; prez trump deserve better than that, trust me.

#trump2020",1
"@USER please , please pay an artist to make either a sequence of slides or animation that shows all of those historical figures in that painting dragging trump out of the office &amp; tossing him out of the usa. #sundayvibes #americasgreatestmistake #biden2020 #finishtheart HTTP",0
"isn’t that cute, you got to “achieve your own american dream” while your husband fights to deny immigrants that right every single day. #rnc2020",0
hey @USER ... #fucktrump (again),0
biden wouldnt meet w north korea despite he and kim jong un having so much in common- hiding in the legacy of previous rulers #democraticdebate,1
"@USER @USER joe biden has earned the vote of every progressive.

bernie confirmed he'll be the most progressive president since fdr.

#votebluenomatterwho to dump trump. #notmeus",0
"@USER as if we will ever forget...palestine is not only on our minds, its in our blood hart and soul, how are they going to erase that ?

#fuckisrael 
#fucktrump 
#fuckicc",0
just cancel the rest of the #debates they're a complete waste of time. trump is just standing around trying to present himself as a strongman and he's just looking like a fool. yelling and screaming like a child.,0
not to intune with what’s going on with the polls ( sense a lot are very inaccurate) i was wondering if someone would help me understand some battleground states and states that may flip. @USER @USER are the accounts that i’ve been watching. #trump2020 #maga #kag,1
@USER @USER @USER rasmussen is a small red bubble... enjoy! #tre45on #votebluetosaveamerica #usveteransvstrump,0
"@USER @USER @USER @USER #globalist  and never #americafirst
he, along with #biden, pelosi, and kerry are deep in  #ukrainegate scandal.
#crooksliarsandthieves.
romney is part of the reason #wethepeople hired #trump to #draintheswamp 
#trump2020 HTTP",1
"@USER great job andy. (as always)
#journalist 
#realnews 
#trump2020 
#antifadomesticterrorists",1
"@USER @USER #repost @USER @USER.ins
---
these beauties are back in our inventory 🇺🇲

#trump #trump2020 #godblessamerica🇺🇸 #wednesday #maga #maga2020 #madeintheusa🇺🇸 #presidentialelection #hatclip 

you can tap on the picture to purchase HTTP",1
"if i hear one more person say that “even on america’s worst day, we are still the strongest country.” what the hell kind of reverse psychotic nonsense! #rnc2020 #gopconvention #dncconvention #blacklivesmatter",0
@USER @USER more democrat b/s. wakeup! #trump2020,1
"#trump2020 idk whats worst, liberals in nicaragua or the usa 
#freespeech #socialismkills",1
"@USER @USER if i only have 62 cents in my couch, i'm richer than trump. i don't owe anyone. he's negative 451 million.",0
gov. michelle lujan grisham: ‘we have the chance this november to end two existential crises — the trump presidency and the environmental annihilation he represents’ #demconvention HTTP,0
@USER #kanyeconjob trump just thinks african americans are going to automatically vote for kanye 🙄 he certainly doesn't give them much credit does he?? don't fall for it he's trying to split the vote between kanye and biden.  #votetrumpout #voteblue2020 #gojoe,0
"the conflation of wh symbolism with the current administration is not a signal of, nor a nod toward fascism. it is fascism. this is what we fought against in wwii...i say this without partisan politics in mind. but if america thinks its bad now, buckle up! #rnc2020",0
@USER i'm not american but i always think buchanan gets that title but trump is a shocker but then is he really entitled to be thought of as a president? he's really just the squatter in the white house.,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER none of the #gop clowns have any class and by association none of the people in attendance do either.  all suckers and losers!,0
"@USER ""c'mon man the thing is well you know what it is! in a sea of what's happening now with the birds and crackheads. are you a junkie!? i'm tired. where am i again?""  
ok it's not verbatim but you get the idea #joebiden should be relaxing in his comfy chair😥
#trump2020landslide 🇺🇸",1
"watching the presidential debate is making my head hurt. it's like one big wrinkled up orange baby won't stop  crying over two adults trying to talk politics.
#presidentialdebate2020 #theginmagaisgodawful #trumpisabigorangebaby #noyouretheliar",0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER i got you anthony!  let’s do this!!  #biden2020,0
#debate. trump was honest and sweet for him.  joe lost left. no green deal no universal health and no defund police. he said i’m not for any of those.  so just vote trump is the result,1
"@USER trump has his downfalls, we all do, but at the end of the day he is taking action for all americans. 
#maga
#trump2020 
#whatdoesbidenreallydofortheamericanpeople HTTP",1
@USER texas will never be blue. #votered #trump2020,1
"#2020elections #trumpcoronavirustestfailure

cuomo to trump

first of all if he is sitting at home watching tv, maybe he should get up and go to work

how many times do you want me to say “thank you”?

i’m saying thank you for doing your job

this was your role as president. ok!",0
"biden was the real man last night. the bigger man. the man who could debate with words, facts and policy positions, not professional wrestling theatrics. #bidenwon #presidentialdebate #bidenwonthedebate",0
people who would hand trump a second term by not voting biden and effectively killing progressive agendas for the next lifetime are the very definition of cutting off a nose to spite its face. #2020election #bluewave #biden2020,0
"@USER 😩
yes, many issues with greed in capitalistic economy. 
must improve! 
more accountability, more laws to protect workers, reduce power of conglomerate corporations etc...
not necessarily throw out capitalism entirely. 
#votebluetosaveamerica",0
hey biden.. which one is it?? #debate #trump #trump2020 HTTP,1
if you’re army and a trump supporter please stfu you’re embarrassing us ✨,0
"@USER @USER i think @USER is looking in the wrong place for comrades. the russians are working for the #trump campaign, with full knowledge of the #gop . our intelligence community has said so.",0
"@USER after your dancing libtard routine on the five you should be embarrassed by your ignorance! is there anyway to quantify your stupidity with being a libtard, lefty liberal, trump hating anti-american you are? is it being a libtard or is it brain damage? #trump2020",1
"vote #biden2020 because he won't have cops tear gas your mom, keep babies in cages at the border, or kill off your grandparents and school children for the economy.",0
"@USER @USER how 'bout that news on @USER and his nasty sexual exploits between the pool boy and his wife.  you repugnants sicken me, @USER  #voteblue #votebluetosaveamerica",0
"that darn nancy pelosi.....
#myhomemadememes #nancypelosi #politicalmemes #politicalmeme #trump2020 #trump #trumpmemes #meme #memes #lol #lmfao #lulz #lmao #funny #hilarious #haha #humor #humorous #havingfun #joke… HTTP",1
"@USER @USER @USER, you can still do the right thing.  continuing to bow to the crook in the wh is a sure end to your careers.  im done with the lot of you #votebluetosaveamerica",0
"@USER resorting to name calling again with #joehiden? you realize that being a dick doesn't make yours any bigger, right?

#dumptrump2020 
#trumpmustgo 
#voteblue2020 
#votebidenharristosaveamerica HTTP",0
us as #americans don't need #donaldtrumps lies he's sololy bringing down out great country he think its ok to interject on a peace riot with military police on a blm riot we can't take another 4 years his lies so #votebidenharris2020 and our an end to the nightmare #voteblue HTTP,0
"can you believe kennedy lost in massachusetts? because he's not radical enough. 
#trumprally #trumprallylatrobe #maga #maga2020",1
"#quote 10:01-10:10 - we've now reach the point where the fbi is opening a new china-related counter-intelligence case - about every ten hours.

approx 1 hr

vid HTTP

#buildthewall #finishthewall #maga #kag #trump2020

qt-rv-221 #borderobserver HTTP",1
"@USER the student athletes deserve to live. ignoring the warnings about the virus, calling it a hoax, screwing up the response, the sheer incompetence of this administration is the reason the u.s. is the worst in the world. #voteblue2020",0
@USER @USER @USER is that one of you and mike madigans favorite place. i wonder how much money you have extorted from them and the countless other great establishments in your unsafe ward. makes me sick every time i am forced to write a check to your campaign for re-election you’re useless #maga,1
@USER i am really sorry. i am going to go have a pacifico advil right now. goodnight! #fucktrump,0
@USER amazing!!! nick sandmann exceeded my expectations. he was ruthless #kag,1
"how am i just now finding this account?! what a fabulous way to end a very difficult day. good night, twitter. #votebluetosaveamerica 🌊 HTTP",0
"#demconvention don’t miss tonight! 
#bidenharris2020 #votingmatters HTTP",0
we will take back our punter from the trump goons. #demconvention,0
i paid more for weed than trump did in taxes,0
"@USER i wonder why demmys didn’t have daughter speak?  maybe they would have to acknowledge the violence they ignored at the dnc. well, it’s a good thing david dorns daughter was not *forced* to endorse potus!  good thing ann dorn was free to make up her own mind.  #trump2020",1
"when i see people wear their #maga hats and #womenfortrump tees, it may as well say ”i’m a racist,” because that’s what it all really means.",0
"@USER @USER sorry., @USER, those folks with an r next to their name have a responsibility to speak truth to power and with the exception of one republican they have all remained silent. it’s time to toss all the babies out with the bathwater. 
#voteblue",0
i just made a donation to mj for texas to help elect mj to the u.s. senate! now is the time to stand up for our country. vote out trump and vote out every gop enabler.  #voteblue HTTP,0
#chicago mayor bans protestors from her block as recall petitions against... HTTP,1
@USER does bill barr not think the supreme court has better and more important matters to deal with than the hissy fits of a egotistical bigoted orange 74 year old baby complaining about twitter. #demconvention #billbarrhearing @USER @USER @USER,0
"so, what might we conclude from #donaldtrump's attempt to delay the us #election - first, he clearly thinks he will not win; second,he's worried what will come out once the dems take controlof the wh - i'm expecting lots of shredding &amp; bonfires in november",0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER greatly appreciated the ride with all these amazing patriots!  
rt'd. ifb #kag  🇺🇸
 
all #maga, please be sure you are following @USER     
🚂🚃🚃🚃🚃🚃🚃🚃🚃🚃🚃🚃🚃🚃🇺🇸 HTTP",1
"we had a great rally in front of the governor’s (people’s) mansion in carson city, nv to protest ab4 (mail-in ballot, ballot harvesting bill). we left the area as we found it with no garbage or damage. #maga #kag HTTP",1
that “clown” shot was uncalled for. i think @USER needs to apologize to clowns. #debate #debate2020 #trumpisaclown,0
"we the people
deserve better
#buildbackbetter 
#votebluetosaveamerica",0
"@USER american will vote against the mob. enough violence!
#trump2020

HTTP",1
"@USER the groundbreaking peace deal between israel and uae has paved the way for peace in the middle east, brokered by @USER. 

they said he'd start wars.

#trump2020 #trumplandslidevictory2020 #maga #maga2020 

 HTTP",1
"r.i.p  💀 nfl 🏈  it's over 😆
HTTP
🤡🤪🤡🤪🤡🤪🤡🤪
#nfl #trumprally #trump2020 #maga #maga2020 #lol #trumprallynevada #trumptrain #trump2020landslide HTTP",1
"@USER @USER @USER i think you should send this to @USER so her followers can follow @USER she got the interview afterall. #biden2020
#bidenharris2020",0
"@USER gummies, joints, bongs whatever you need to get through 90 mins of trump.",0
i’m not sure how much more ⁦@USER⁩ #maga winning this country can take. HTTP,1
"this is truth.  #alllivesmatter #unbornbabylivesmatter #trump2020
'pure evil – it's borderline satanic': black media man hammers dems HTTP",1
"@USER #trump2020kag #maga
🇺🇸 ifbap 🇺🇸 please follow @USER 😊",1
"@USER glad you parted ways with the rock ( the pebble) on this.
good on ya champ #kag",1
"@USER #1a comes first for a reason. these red ❄️ #snowflakes are amusing because they call everyone else a snowflake. #irony

amusing ""back the blue"" sounds like a blue wave, #democrat supporter group. 🌊🌊🌊 👌

can't expect much from rw  #nitwits

we have your back, pat 👊",0
@USER @USER thank you!  #trump2020,1
@USER can u even imagine some one like this trying to tell u anything? she does not even know the tax laws! amazon made billions last year and did not pay the first penny! these are tax laws the idiot biden put in place the last 47 years!,1
"@USER @USER @USER big man with his 32 followers!! guess no one wants to here his uneducated,snowflake crying 😢. #trump2020 we r not going anywhere,get use to us. try again noob!! HTTP",1
"#trump cites #obama and #joebiden handling of #swineflu when talking about #covid19 

let's talk about that. #joebiden and #obama had vaccine within a few weeks and held #h1n1 to just over 15,000 deaths

#trump still doesn't even have coherent testing plan, and has 200,000 deaths",0
"@USER #moscowmitchmcconnell says he's proud of the work he's done.
i always thought he was lying. but, no. he's proud of cheating us. he's proud of taking our hard-earned money &amp; giving it to the lazy rich non-working class.
#votebidenharris
#bluewave
#voteamymcgrath to #ditchmitch2020",0
ballot sent. fuck trump,0
"@USER @USER @USER dotard don is so insecure.... how insecure is he.... 
he had to lie about throwing out the yankees first pitch to keep up with dr. fauci.
#biden2020",0
@USER that’s so freakin cool #trump2020,1
"@USER @USER i agree!  that is why i am voting for joe biden.
#trumpvirus #trumpiskillingus #trumpisacompletefailure #votebluetosaveamerica2020 #biden2020",0
@USER @USER #mastiller gay trump supporters are always the best when theyre triggered #gaysfortrump #trumpisnotwell #dumptrump #njtrash #trump2020 #trumpviolence #gay #covidiots HTTP,0
"welp, there ya go. still good with this, trumpers?  #notmypresident     bob woodward book: in trump interviews for 'rage,' president says he downplayed coronavirus threat - the washington post HTTP",0
"democrats have #billtherapist speaking at the #demconvention2020 even after their fake #metoo hypocrisy. 

#trump2020 #votered2020 HTTP",1
kill two birds with one nuke. end covid-19 and ensure a biden wins. #biden2020 #covid19 #dumptrump2020 #maskup HTTP,0
@USER my fear is biden will get rinsed because an essential decent but rather boring man is up against a showman liar.  in those circumstances we usually see the liar win.🙁,0
watching the presidential debate #trump2020 #presidentialdebate2020 #debates2020 #presidenttrump,1
@USER @USER when will trump start truthfully answering questions?,0
"florida’s economy can’t afford another 4 years of trump’s broken promises to florida’s workers and families.🙅‍♀️
we’re ready for a real leader like @USER. will you join us in the fight to bring home florida? HTTP",0
seeing alot of maga hats and the us flag on the way to sturgis! #maga #kag2020 HTTP,1
"@USER @USER it is so sad that @USER and the #maga crowd can't do math the same way they do meth
someone please explain to them that
1.4 million jobs have coming back
subtracted from 12.9 jobs lost due to #covid
still leaves 11.5 million people unemployed

HTTP",0
"best of luck tonight @USER @USER 2020
#votebidenharris2020 #voteblue 📢
(i hear everyone is voting for you) ✔ HTTP",0
@USER @USER worthless dnc.  #trump2020.,1
"@USER @USER @USER why is the fringe-right #maga crowd lying to the amer. ppl by reporting these isolated events as if the entire protest and everyone protesting, for a fair +good cause, are so-called ""anarchist,"" ""antifa,"" ""it's chaos,"" etc. why the fear mongering? to distract from trump failures?",0
@USER neither should your brusband. #trump2020,1
"@USER @USER he may know the details inside and out(i'm doubtful of that) but sean would present the information in a way that is most flattering to trump, and omit any information contrary to that narrative. i wouldn't trust anything he says without reviewing all the details myself.",0
@USER that was no moderator - he gave biden softballs and tried to set traps for trump. disgraceful!,0
"🇺🇸☕️☕️good morning patriots ☕️☕️🇺🇸
well we are halfway thru the dimwit convention blooper reel.
can't wait for the republican convention
with all the bs #corruptdemocrats have put @USER thru and the unwarranted attack on his accomplishments.
his motto
#trump2020 HTTP",1
@USER i was gonna vote biden till i found out he left his post during ww1 to go hit on some french women😂 glad he found his way out the basement!  #trump2020,1
@USER vote early!  #votebluetosaveamerica,0
"hey, @USER
i saw the poll about how you beat donald trump.
#biden2020

#southcarolinaprimary 
#nevadacaucuses 
#democraticdebate

@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER",0
#debates2020 donald trump doesn’t know how to speak the truth about responses to covid-19.,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER thank you for the 🚂 ride @USER 🇺🇸 ifb all #maga #kag patriots. please retweet HTTP,1
"wow, i just saw a #joebiden  commercial. most #democrats have usually given up on #missouri since we went from purple to red so i haven't seen many commercials for the dem nominee at any level above city for the last few cycles. are we (mo) in play to #dumptrump2020?",0
"@USER i pernounce it like another c word. we don’t need to know her name, it will all be over soon. #maga #maga2020 #trump2020",1
@USER you need to paint a scary picture of joe biden future of america and what you did and will do for our future,0
